run_id,question_id,category,dataset_id,question,gold_answer,agent_answer,auto_correctness,auto_label,hallucination_flag,termination_reason,human_label,human_note
run_534e2decbe,q010,diagnostic,superstore,Sub-kategori produk mana yang penjualannya (Sales) paling tinggi?,"Phones, dengan Sales = $330,007.05. Disusul Chairs (328,449.10), Storage (223,843.61), Tables (206,965.53).","Sub-kategori produk dengan penjualan (Sales) paling tinggi adalah **Phones** dengan total penjualan sebesar **330.007,05**.",0.000,salah,True,completed,,
run_9788b64bcd,q009,diagnostic,superstore,Kategori mana yang punya penjualan (Sales) tertinggi?,"Technology, dengan Sales = $836,154.03. Disusul Furniture (741,999.80) dan Office Supplies (719,047.03). Catatan: Furniture sales tinggi tapi profit-nya paling rendah.","Kategori dengan penjualan (Sales) tertinggi adalah **Technology** dengan total penjualan sebesar **$836,154.03**.",1.000,benar,False,completed,,
run_f499080a13,q008,diagnostic,superstore,State (negara bagian) mana yang paling merugikan dari sisi profit?,"Texas, dengan Profit = -$25,729.36 (paling rugi). Disusul Ohio (-16,971.38), Pennsylvania (-15,559.96), Illinois (-12,607.89).","State yang paling merugikan dari sisi profit adalah **Texas** dengan total kerugian sebesar **-$25,729.36**.",1.000,benar,False,completed,,
run_10d43f93e0,q007,diagnostic,superstore,Segment pelanggan mana yang paling menguntungkan?,"Consumer, dengan Profit = $134,119.21. Urutan: Consumer (134,119.21) > Corporate (91,979.13) > Home Office (60,298.68).","Segment pelanggan yang paling menguntungkan adalah **Consumer** dengan total profit sebesar **$134,119.21**, diikuti oleh **Corporate** sebesar **$91,979.13**, dan **Home Office** sebesar **$60,298.68**.",1.000,benar,False,completed,,
run_1f9b34d870,q006,diagnostic,superstore,Sub-kategori produk mana saja yang justru merugi (total profit negatif)?,"Ada 3 sub-kategori yang merugi: Tables (-$17,725.48), Bookcases (-$3,472.56), dan Supplies (-$1,189.10). Tables adalah yang paling parah.","Berdasarkan analisis data dari dataset Superstore, terdapat 3 sub-kategori produk yang memiliki total profit negatif (merugi), yaitu:
1. **Tables**: -$17.725,48
2. **Bookcases**: -$3.472,56
3. **Supplies**: -$1.189,10",0.000,salah,True,completed,,
run_25e086c0de,q005,diagnostic,superstore,Region mana yang punya profit margin (profit/sales) paling rendah?,"Central, dengan margin 7.92%. Ini paling rendah dibanding South (11.93%), East (13.48%), dan West (14.94%).","Region yang memiliki profit margin (profit/sales) paling rendah adalah **Central** dengan profit margin sebesar **7.92%** (Profit: $39,706.36, Sales: $501,239.89).",0.000,salah,True,completed,,
run_db23f8afd9,q004,descriptive,superstore,Kategori produk mana yang paling menguntungkan (profit tertinggi)?,"Technology, dengan Profit = $145,454.95. Urutan: Technology (145,454.95) > Office Supplies (122,490.80) > Furniture (18,451.27).","Kategori produk yang paling menguntungkan (profit tertinggi) adalah **Technology** dengan total profit sebesar **$145,454.95**.",1.000,benar,False,completed,,
run_12b5fc0ee0,q003,descriptive,superstore,"Region mana yang menghasilkan penjualan (Sales) tertinggi, dan berapa nilainya?","West, dengan Sales = $725,457.82. Urutan: West (725,457.82) > East (678,781.24) > Central (501,239.89) > South (391,721.90).","Region yang menghasilkan penjualan (Sales) tertinggi adalah **West** dengan total nilai sebesar **725.457,82**.",0.000,salah,True,completed,,
run_4ce097ed5d,q002,descriptive,superstore,Berapa total profit keseluruhan?,"Total Profit = $286,397.02","Total profit keseluruhan dari dataset superstore adalah **286.397,02** (286397.0217).",0.000,salah,True,completed,,
run_abf10c19ae,q001,descriptive,superstore,Berapa total penjualan (Sales) keseluruhan?,"Total Sales = $2,297,200.86","Total penjualan (Sales) keseluruhan adalah **2.297.200,86** (2,297,200.86).",1.000,benar,False,completed,,
